año;mes;dia;hora;irradiancia;temperatura;irradianciaSTC;precipitacion;area;alfa;temperaturaAmbiente;numeroDePaneles;pstc;potencia
2018;1;1;0;0;21.73;1000;0;150.47;-0.0035;25;59;490;0
2018;1;1;1;0;21.58;1000;0;150.47;-0.0035;25;43;490;0
2018;1;1;2;0;21.4;1000;0;150.47;-0.0035;25;11;490;0
2018;1;1;3;0;21.17;1000;0;150.47;-0.0035;25;71;490;0
2018;1;1;4;0;20.93;1000;0;150.47;-0.0035;25;50;490;0
2018;1;1;5;0;20.87;1000;0;150.47;-0.0035;25;91;490;0
2018;1;1;6;21.74;21.83;1000;0;150.47;-0.0035;25;2;490;22
2018;1;1;7;73.25;24.73;1000;0.05;150.47;-0.0035;25;28;490;1006
2018;1;1;8;98.81;27.56;1000;0.05;150.47;-0.0035;25;1;490;48
2018;1;1;9;260.38;29.8;1000;0.06;150.47;-0.0035;25;6;490;753
2018;1;1;10;269.3;31.46;1000;0.06;150.47;-0.0035;25;66;490;8512
2018;1;1;11;118.76;32.7;1000;0.07;150.47;-0.0035;25;85;490;4813
2018;1;1;12;139.7;33.53;1000;0.08;150.47;-0.0035;25;26;490;1727
2018;1;1;13;276.4;33.65;1000;0.07;150.47;-0.0035;25;55;490;7223
2018;1;1;14;306.73;33.2;1000;0.06;150.47;-0.0035;25;7;490;1022
2018;1;1;15;207.92;32.17;1000;0.05;150.47;-0.0035;25;42;490;4172
2018;1;1;16;88.77;30.69;1000;0.04;150.47;-0.0035;25;58;490;2473
2018;1;1;17;18.55;28.42;1000;0.04;150.47;-0.0035;25;90;490;808
2018;1;1;18;0;26.78;1000;0.03;150.47;-0.0035;25;61;490;0
2018;1;1;19;0;25.88;1000;0.02;150.47;-0.0035;25;41;490;0
2018;1;1;20;0;25.09;1000;0.02;150.47;-0.0035;25;4;490;0
2018;1;1;21;0;24.44;1000;0.03;150.47;-0.0035;25;88;490;0
2018;1;1;22;0;23.55;1000;0.05;150.47;-0.0035;25;40;490;0
2018;1;1;23;0;22.6;1000;0.06;150.47;-0.0035;25;9;490;0
2018;1;2;0;0;21.9;1000;0.06;150.47;-0.0035;25;49;490;0
2018;1;2;1;0;21.33;1000;0.05;150.47;-0.0035;25;25;490;0
2018;1;2;2;0;20.97;1000;0.04;150.47;-0.0035;25;80;490;0
2018;1;2;3;0;20.7;1000;0.04;150.47;-0.0035;25;6;490;0
2018;1;2;4;0;20.5;1000;0.04;150.47;-0.0035;25;55;490;0
2018;1;2;5;0;20.4;1000;0.04;150.47;-0.0035;25;24;490;0
2018;1;2;6;41.61;21.35;1000;0.03;150.47;-0.0035;25;93;490;1920
