YY;MM;DD;hora;irradiancia;temperatura;precipitacion
2020;1;1;0;0.0;22.94;0.55
2020;1;1;1;0.0;22.57;0.59
2020;1;1;2;0.0;22.09;0.6
2020;1;1;3;0.0;21.54;0.53
2020;1;1;4;0.0;21.09;0.43
2020;1;1;5;0.0;20.76;0.37
2020;1;1;6;33.28;20.97;0.32
2020;1;1;7;174.02;22.55;0.06
2020;1;1;8;327.12;24.44;0.06
2020;1;1;9;452.56;26.26;0.06
2020;1;1;10;527.3;28.61;0.06
2020;1;1;11;535.81;30.19;0.06
2020;1;1;12;528.34;31.51;0.06
2020;1;1;13;471.7;32.32;0.05
2020;1;1;14;380.03;32.29;0.04
2020;1;1;15;249.93;31.56;0.04
2020;1;1;16;131.02;30.13;0.04
2020;1;1;17;25.74;27.51;0.04
2020;1;1;18;0.0;26.17;0.04
2020;1;1;19;0.0;25.51;0.03
2020;1;1;20;0.0;24.67;0.03
2020;1;1;21;0.0;23.83;0.05
2020;1;1;22;0.0;23.18;0.07
2020;1;1;23;0.0;22.69;0.08
2020;1;2;0;0.0;22.25;0.08
2020;1;2;1;0.0;21.85;0.07
2020;1;2;2;0.0;21.52;0.06
2020;1;2;3;0.0;21.29;0.05
2020;1;2;4;0.0;21.04;0.04
2020;1;2;5;0.0;20.64;0.03
2020;1;2;6;53.83;21.12;0.02
2020;1;2;7;237.16;23.3;0.0
2020;1;2;8;436.54;25.62;0.0
2020;1;2;9;504.31;28.55;0.0
2020;1;2;10;748.49;30.66;0.0
2020;1;2;11;814.49;32.17;0.0
2020;1;2;12;643.9;33.08;0.0
2020;1;2;13;664.88;33.39;0.0
2020;1;2;14;510.5;33.09;0.0
2020;1;2;15;340.15;32.15;0.0
2020;1;2;16;166.5;30.62;0.0
2020;1;2;17;27.58;27.78;0.0
2020;1;2;18;0.0;25.87;0.0
2020;1;2;19;0.0;25.08;0.0
2020;1;2;20;0.0;24.33;0.0
2020;1;2;21;0.0;23.61;0.0
2020;1;2;22;0.0;22.97;0.0
2020;1;2;23;0.0;22.45;0.0
2020;1;3;0;0.0;22.09;0.0
2020;1;3;1;0.0;21.68;0.0
2020;1;3;2;0.0;21.15;0.0
2020;1;3;3;0.0;20.55;0.0
2020;1;3;4;0.0;20.16;0.0
2020;1;3;5;0.0;20.02;0.0
2020;1;3;6;57.87;21.04;0.0
2020;1;3;7;294.74;24.0;0.0
2020;1;3;8;540.74;26.84;0.0
2020;1;3;9;741.81;29.33;0.0
2020;1;3;10;874.67;31.42;0.0
2020;1;3;11;943.95;32.94;0.0
2020;1;3;12;929.2;33.85;0.0
2020;1;3;13;808.63;34.12;0.0
2020;1;3;14;648.51;33.76;0.0
2020;1;3;15;440.29;32.81;0.0
2020;1;3;16;218.92;31.32;0.0
2020;1;3;17;30.84;28.48;0.0
2020;1;3;18;0.0;26.41;0.0
2020;1;3;19;0.0;25.59;0.0
2020;1;3;20;0.0;24.87;0.0
2020;1;3;21;0.0;24.15;0.0
2020;1;3;22;0.0;23.5;0.0
2020;1;3;23;0.0;22.99;0.0
2020;1;4;0;0.0;22.55;0.0
2020;1;4;1;0.0;21.94;0.0
2020;1;4;2;0.0;21.3;0.0
2020;1;4;3;0.0;20.57;0.0
2020;1;4;4;0.0;19.9;0.0
2020;1;4;5;0.0;19.33;0.0
2020;1;4;6;47.2;20.32;0.0
2020;1;4;7;258.64;24.01;0.0
2020;1;4;8;507.56;27.15;0.0
2020;1;4;9;705.43;29.6;0.0
2020;1;4;10;841.36;31.55;0.0
2020;1;4;11;951.59;33.04;0.0
2020;1;4;12;927.89;33.95;0.0
2020;1;4;13;825.58;34.31;0.0
2020;1;4;14;643.49;34.08;0.0
2020;1;4;15;434.38;33.32;0.0
